,0
0,Comilla
1,Feni
2,Brahmanbaria
3,Rangamati
4,Noakhali
5,Lakshmipur
6,Chittagong
7,Khagrachhari
8,Bandarban
9,Sirajganj
10,Pabna
11,Bogura
12,Natore
13,Jaipurhat
14,Nawabganj
15,Naogaon
16,Jessore
17,Satkhira
18,Meherpur
19,Narail
20,Chuadanga
21,Kushtia
22,Magura
23,Khulna
24,Bagerhat
25,Jhenaidah
26,Jhalakathi
27,Patuakhali
28,Pirojpur
29,Barisal
30,Bhola
31,Barguna
32,Sylhet
33,Moulvibazar
34,Habiganj
35,Sunamganj
36,Narsingdi
37,Gazipur
38,Shariatpur
39,Narayanganj
40,Tangail
41,Kishoreganj
42,Manikganj
43,Munshiganj
44,Rajbari
45,Madaripur
46,Gopalganj
47,Faridpur
48,Panchagarh
49,Dinajpur
50,Lalmonirhat
51,Nilphamari
52,Gaibandha
53,Thakurgaon
54,Rangpur
55,Kurigram
56,Sherpur
57,Mymensingh
58,Jamalpur
59,Netrokona
